mhc_elution_id	h_age
3464297	young and old
3382544	young and old
3382546	old
3382547	young and old
3382549	old
3382550	young and old
3382551	old
3382552	young and old
3382553	old
3382554	young and old
3382708	young and old
3382709	old
3382710	young and old
3382711	old
3382712	young and old
3382713	old
3382714	young and old
3382715	old
3382716	young and old
3382717	old
3382869	young and old
3382870	old
3382871	young and old
3382872	old
3382873	young and old
3382875	old
3382876	young and old
3382878	old
3382879	young and old
3383031	young and old
3383033	old
3383034	young and old
3383035	old
3383036	young and old
3383037	old
3383038	young and old
3383039	old
3383189	young and old
3383190	old
3383191	young and old
3383192	old
3383193	young and old
3383194	old
3383195	young and old
3383196	old
3383197	young and old
3383198	old
3383380	young and old
3383381	old
3383382	young and old
3383383	old
3383384	young and old
3383385	old
3383386	young and old
3383387	old
3383379	old
3382557	young and old
3382559	old
3382560	young and old
3382562	old
3382563	young and old
3382564	old
3382565	young and old
3382556	old
3382718	young and old
3382719	old
3382720	young and old
3382721	old
3382722	young and old
3382723	old
3382724	young and old
3382725	old
3382726	young and old
3382727	old
3382881	old
3382882	young and old
3382883	old
3382884	young and old
3382885	old
3382886	young and old
3382887	old
3382888	young and old
3382889	old
3382890	young and old
3383040	young and old
3383041	old
3383042	young and old
3383043	old
3383044	young and old
3383045	old
3383046	young and old
3383047	old
3383048	young and old
3383049	old
3383199	young and old
3383200	old
3383201	young and old
3383202	old
3383203	young and old
3383204	old
3383205	young and old
3383206	old
3383207	young and old
3383209	old
3383388	young and old
