mhc_elution_id	h_age
3963480	adult
3963724	adult
3963953	adult
3963954	adult
3963956	adult
3963957	adult
3963958	adult
3963959	adult
3963962	adult
3963963	adult
3960305	adult
3960307	adult
3960562	adult
3960565	adult
3960568	adult
3960788	adult
3960790	adult
3960792	adult
3960795	adult
3960797	adult
3960798	adult
3960801	adult
3961009	adult
3961010	adult
3961014	adult
3961018	adult
3961006	adult
3961240	adult
3961242	adult
3961244	adult
3961248	adult
3961249	adult
3961250	adult
3961253	adult
3961749	adult
3961752	adult
3961754	adult
3961755	adult
3961756	adult
3961757	adult
3961758	adult
3961759	adult
3961760	adult
3961761	adult
3961983	adult
3961986	adult
3961987	adult
3961989	adult
3962493	adult
3962499	adult
3962501	adult
3962741	adult
3962744	adult
3962745	adult
3962752	adult
3962754	adult
3962998	adult
3963001	adult
3963008	adult
3963241	adult
3963246	adult
3963248	adult
3963252	adult
3963485	adult
3963490	adult
3963492	adult
3963494	adult
3963483	adult
3963964	adult
3963967	adult
3963969	adult
3963970	adult
3963973	adult
3963976	adult
3960320	adult
3960323	adult
3960324	adult
3960326	adult
3960327	adult
3960578	adult
3960583	adult
3960575	adult
3960588	adult
3960804	adult
3960805	adult
3960806	adult
3960807	adult
3960809	adult
3960811	adult
3960812	adult
3960813	adult
3961022	adult
3961023	adult
3961024	adult
3961032	adult
3961033	adult
3961260	adult
3961261	adult
3961263	adult
3961266	adult
3961762	adult
3961763	adult
3961764	adult
3961765	adult
3961766	adult
3961767	adult
3961769	adult
3961770	adult
3961994	adult
3961995	adult
3961998	adult
3962001	adult
3962006	adult
3962510	adult
3962512	adult
3962516	adult
3962757	adult
3962759	adult
3962766	adult
3963011	adult
3963013	adult
3963021	adult
3963024	adult
3963255	adult
3963257	adult
3963262	adult
3963266	adult
3963506	adult
3963978	adult
3963980	adult
3963981	adult
3963982	adult
3963984	adult
3963986	adult
3963987	adult
3963988	adult
3963990	adult
3960333	adult
3960334	adult
3960338	adult
3960590	adult
3960592	adult
3960598	adult
3960599	adult
3960602	adult
3960603	adult
3960815	adult
3960817	adult
3960818	adult
3960821	adult
3960823	adult
3960826	adult
3961039	adult
3961041	adult
3961042	adult
3961043	adult
3961047	adult
3961272	adult
3961284	adult
3961536	adult
3961775	adult
3961776	adult
3961777	adult
3961778	adult
3961779	adult
3961781	adult
3961782	adult
3961783	adult
3961784	adult
3961786	adult
3962015	adult
3962016	adult
3962017	adult
3962522	adult
3962526	adult
3962527	adult
3962530	adult
3962772	adult
3962776	adult
3962782	adult
3963028	adult
3963040	adult
3963269	adult
3963277	adult
3963280	adult
3963516	adult
3963520	adult
3963524	adult
3963776	adult
