h_age	occurrences
18, 35 years	1
2-day old	9
21-58 years-old	81
14 to 53 years	6
41 years old	26
7 to 14 weeks	31
57 years old	40
Median age 11.3 years	3
neonatal	270
Median age 6.3 years	3
46 to 92 years	105
14 week old	45
6 to 12 weeks old	47
2–25 years	8
8-11 weeks old	6
4 to 16 years	4
14 to 51 years	2
14 to 24 years	2
10.1 ± 3.6 yr	11
34 to 66 years	68
25 to 67 years	50
28 to 64 years	104
28 to 61 years	70
mean age 26.5 years	154
33 to 57 years	16
12- 14 weeks	2
8 -12 weeks old	17
9-11 weeks old	14
22 to 56 years	53
29 to 54 years	14
average age = 19.2 years	1
8 to 14 weeks	84
36 to 79 years	19
18-60 years-old	567
Neonatal	6
21-83 years old	6
4 to 8 weeks old	54
24 to 32 years	13
39-46 years old	8
45 years old	3
39 years old	19
6 -10 weeks old	9
10-14 weeks old	74
37–62 years	5
1-18 years old	4
1-55 years old	4
41–64 years	5
30-78 years old	6
17-66 years old	20
29-76 years old	15
20-55 years old	20
5 - 8 weeks	28
25-68 years old	39
7 to 15 weeks	14
39-47 years old	2
37-53 years old	1
53 to 71 years	11
8 to 12 week	18
neonates	6
mean age 31 years	6
26 to 53 years	12
18 to 59 years old	28
20 weeks old	18
34-60 years old	1
3 to 21 years	28
3 month	2
16 - 24 weeks old	1
median age 28 years	2
4 - 5 weeks	3
5-7 weeks old	1
Mean age 65 years	4
8-12 weeks.	3
10 to 12 weeks old	2
4-7 weeks old	2
50 years old	10
26-59 years old	8
8 to 20 weeks	11
10 to 14 weeks	459
42 to 82 years	2
46-48 yrs	1
18-50 years-old	1
8 Week	5
28 to 68 years	46
8 wk.	1
11 to 74 months	5
9 week old	58
18-63 years old	38
3 to 6 months	13
Newborns	232
5-16 weeks old	2
18-50 years old	13
9-12 months old	6
mean age = 30 years	20
4 weeks-old	8
mean age 34.4 years	5
6 month-old	10
20 to 79 years	74
6-8weeks	12
65-74 years old	1
74 years old	1
44.9 to 74.1 years	86
8 to 12-weeks	1
24 to 46 years	29
52.2 - 69 years	21
over 18 years old	10
27 to 56 years	29
6 week	6
22-35 years old	13
53 yrs	4
mean age = 27 years	10
3 - 4 week old	3
3-5 week-old	4
6-18 weeks old	28
Calf	24
23 years old	77
23-45 years old	2
30-45 years old	2
23-35 years old	3
8 yr	7
35 to 41 years	26
47 to 53 years	26
24 years old	3291
24-32 years old	2
mean age = 49.2 years	8
Median age 5.5 years	3
32 to 65 years	1
6 to 16 weeks	22
> 24 weeks	4
4 to 7 weeks old	1
27- 76 years	11
2 to 4 months	30
17 to 74 years	13
20-65 years-old	20841
> 8 weeks	73
40 -58 years	2
12 to 24 weeks	9
6 to 35 months	51
72 to 90 years	1
31-68 yeays	15
31 to 68 years	28
33 to 66 years	51
4 to 12 weeks	12
mean age 46 years	75
28 to 63 years	37
2 to 6 months	61
21 to 40 years	20
41±13 years	2
54±10 years	4
34 to 73 years	15
22 to 82 years	23
10 to 16 weeks	123
17 to 78 years	63
mean age 34.6 years	1
mean age 50.7 years	1
mean age 40 years	1
23 to 81 years	48
38 to 71 years	10
22 - 64 years	290
8 - 9 weeks old	4
48-59 years old	1
21 to 68 years	6
5 to 12 week	15
29 to 61 years	9
22 to 59 years	64
24 to 48 years	123
26 to 64 years	12
6 to 9 weeks	11
2 to 76 years	29
6 to 83 years	29
24 to 68 years	60
8 -11 weeks old	2
mean age 22.8 years	4
15 to 61 years	26
15 to 70 years	34
20 to 48 years	3
19 to 57 years	2
22 to 51 years	38
6 to 60 years	38
25 to 55 years	4
34 to 67 years	3
21 to 67 years	372
25 to 76 years	22
26 to 50 years	15
20 to 43 years	40
23 to 77 years	10
43 to 67 years	3
Mean age 10.6 years	24
22 to 85 years	2
13 to 67 months	5
mean age 39 years	1
18 to 49 years	55
under 16 weeks	1
33 to 73 years	16
15 years old	6
27 to 53 years	31
34 to 50 years	31
17 to 47 years	22
Average age = 60.5 years	51
24 to 51 years	23
Average age = 36.9 years	45
38 to 75 years	4
22 to 41 years	40
21 to 33 years	40
31 to 47 years	40
12 to 26 weeks	26
24 to 79 years	1
5 tp 7 weeks	3
9 to 71 years	3
28 to 87 years	5
31 to 62 years	1
33 to 50 years	29
mean age  48.2 years	60
mean age  40.1 years	60
11-79 years old	42
3 to 24 years	15
4 to 57 years	16
12 to 18 weeks	20
30-58 years old	13
30-54 years old	13
27-56 years old	13
4 to 7 weeks	6
26 to 44 years	69
6- to 7- months	1
23 years-old	6
16 to 63 years	32
33-68 years old	1
21 to 87 years	69
3 to 8 months	43
25-65 years old	8
26.7 +/- 1.0 years	1
2- 4 months	2
30-68 years old	1
Six week old	16
42 to 50 years	6
36 to 65 years	4
2 to 4 monts	3
25 to 59 years	24
42.8±11.9 years	2
48.1±12.7 years	1
19 to 54 years	10
28 to 76 years	54
mean age = 34.8 years	2
21 to 24 weeks	6
40-50 years-old	63
28 to 86 years	15
4 to 10 weeks	2
8 to 45 years	1
22-45 years-old	13
23 to 33 years	3
26 to 60 years	11
44 years old	9
35 years old	18
53 years old	28
40 years old	40
21 years old	8
27 years old	10
28 years old	50
35 to 77 years	1
27-40 years-old	2
27-39 years-old	2
23-53 years-old	7
23-41 years-old	2
12 to 20 weeks	6
33 years old	14
27-42 years-old	2
23-43 years-old	5
32-42 years-old	1
28-40 years-old	1
28-32 years-old	1
27-32 years-old	2
22-58 years-old	38
18-54 years-old	47
18-55 years-old	158
18-56 years-old	18
21-55 years-old	34
18-53 years-old	2
>50 years-old	460
27- 60 years	16
23-47 years-old	4
30-50 years-old	2605
6-8 weels	18
5 to 16 weeks	4
15 day	2
36 to 67 years	2
six to eight weeks old	11
23–52 years	6
19–67 years	12
6-9 weeks old	3
3 to 6 years	6
3 to 75 years	7
average 44.3 years	66
average 40.8 years	24
23–63 years	2
24–62 years	2
25 years old	124
20 to 56 years	7
59 to 77 years	9
57 to 81 years	2
25 to 40 years	15
8 - 16 weeks	2
40 - 63 years	13
mean age = 45.2 years	1
22 to 66 years	13
3 to 25 years	8
46 to 61 years	4
22 - 53 years	2
26 - 52 years	8
23-55 years-old	24
6 to 7 months	6
32-55 years-old	5
31-43 years-old	2
34 to 58 years	11
18 to 24 months	4
35 to 55 years	22
8 -12 weeks	21
21-42 years old	31
18-78 years old	31
14 to 15 weeks	1
38 to 63 years	4
mean age = 58 years	2
2 to 49 years	1
22 to 26 months	1
2 to 26 months	1
20 - 57 years	12
6 - 12 weeks	4
17 - 60 years	4
39.8 +/- 10.6 years	7
4 week old	1
55 years old	9
57- 81 years	7
30 years old	10
22 years old	4
50- 74 years	2
47 years old	5
17 to 26 weeks	1
6 yrs	11
55 to 81 years	9
58 years old	1
7 to 16 weeks	106
35-43 years-old	1
7 to 8 week	19
31-39 years old	1
8.9 to 18.7 years	144
23 to 69 years	3
33 to 49 years	2
30 to 70 years	12
28 to 60 years	19
23 to 73 years	21
27 +/- 6 years	12
median age = 27 years	14
17 +/- 6 years	6
55.2 +/- 20.1 years	45
46.1 +/- 14.8 years	3
30-53 years old	11
20-58 years-old	1644
21-48 years-old	2
5 to 12 weeks	216
21-59 years-old	33
22-48 years-old	4
22-55 years-old	25
22-59 years-old	36
23-59 years-old	19
