h_age,occurrences
"8-34 years",4
"37-66 years",4
"2.5-22 years",4
"16-43 years",4
"6 to 32 years",4
"28-59 years",4
"6-8 wk",4
"<5 years",4
"49- 55.6 years",4
"21-94 years",4
"6 to 8 -week-old",4
"12 weeks-old",4
"10 years",4
"18-39 years",4
"67 years",4
"37 ± 12 years",4
"1-75 years",4
"35 to 50 years",4
"42-61 years",4
"15 weeks",4
"44-83 years",4
"10-12 weeks old",4
"39.18 ± 6.77",4
"27 to 46 years",4
"7-10 days",4
"1-6 months",4
"38 days",4
"37 average",4
"33 to 60 years",4
"6 - 10 weeks",4
"27-55 years",4
"4 week",4
"mean 63.87 years",4
"38.15 ± 6.5",4
"6-15 weeks",4
44,4
"25.8 to 53.2 years",3
"8-36 years",3
"13-69 years",3
"44.6 to 69.4 years",3
"30-89 years old",3
"44 to 74 years",3
"39.6 to 63 years",3
"16-20 weeks",3
"13-59 years",3
"21.1 to 39.9 years",3
"19-43 years",3
"18-47 years old",3
"20 to 75",3
"25 to 70 years",3
