h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
100 day fetus	10001726	Sus scrofa Miniature Minnesota	100 day fetus						6131
48 ± 8 years	9606	Homo sapiens (human)	48 ± 8 years						6152
51.4 +/- 18 years	9606	Homo sapiens (human)	51.4 +/- 18 years						6153
29 +/- 9 days	9913	Bos taurus (bovine)	29 +/- 9 days						6154
Mean age of 54. 04	9606	Homo sapiens (human)	mean age of 54. 04						6160
72.5±5.2 years	9606	Homo sapiens (human)	72.5±5.2 years						6167
72.3±6.7 years	9606	Homo sapiens (human)	72.3±6.7 years						6168
36.47 +/- 12.46 years	9606	Homo sapiens (human)	36.47 +/- 12.46 years						6178
40.15 +/- 8.8 years	9606	Homo sapiens (human)	40.15 +/- 8.8 years						6179
53 +/- 11 years	9606	Homo sapiens (human)	53 +/- 11 years						6186
25 years mean age	9606	Homo sapiens (human)	25 years mean age						6223
Mean age: 32.56 years	9606	Homo sapiens (human)	mean age: 32.56 years						6234
Mean age: 34 years	9606	Homo sapiens (human)	mean age: 34 years						6235
39.0 +/- 13.8 years	9606	Homo sapiens (human)	39.0 +/- 13.8 years						6259
44.1 +/- 13.2 years	9606	Homo sapiens (human)	44.1 +/- 13.2 years						6269
41.5 +/- 9.8 years	9606	Homo sapiens (human)	41.5 +/- 9.8 years						6270
31.7+/-4.5	9606	Homo sapiens (human)	31.7+/-4.5						6271
37.0 +/- 12.6 years	9606	Homo sapiens (human)	37.0 +/- 12.6 years						6273
31.6+/-5.4	9606	Homo sapiens (human)	31.6+/-5.4						6274
8 +/- 3 years	9606	Homo sapiens (human)	8 +/- 3 years						6282
38+/- 11 years	9606	Homo sapiens (human)	38+/- 11 years						6288
70 +/- 9 years	9606	Homo sapiens (human)	70 +/- 9 years						6295
1 year 8 months to 68 years	9606	Homo sapiens (human)	1 year 8 months to 68 years						6300
0.7 to 20.9 years (median = 11.0)	9606	Homo sapiens (human)	0.7 to 20.9 years (median = 11.0)						6328
36.2 +/- 8.9 years	9606	Homo sapiens (human)	36.2 +/- 8.9 years						6332
58.4 +/- 14.3 years	9606	Homo sapiens (human)	58.4 +/- 14.3 years						6357
<42-79 years	9606	Homo sapiens (human)	<42-79 years						6359
1 month - 13 years	9606	Homo sapiens (human)	1 month - 13 years						6362
6 or 12 months	10001286	Mus musculus APPswe/PSEN1	6 or 12 months						6374
42.18+/-13.23	9606	Homo sapiens (human)	42.18+/-13.23						6383
44.94+/-15.65	9606	Homo sapiens (human)	44.94+/-15.65						6384
1 day to 103 years	9606	Homo sapiens (human)	1 day to 103 years						6408
23.2 +/- 5.7 years	9606	Homo sapiens (human)	23.2 +/- 5.7 years						6414
60.9 +/- 11 years	9606	Homo sapiens (human)	60.9 +/- 11 years						6418
59.4 +/- 5.4 years	9606	Homo sapiens (human)	59.4 +/- 5.4 years						6419
43 t0 53 months	9483	Callithrix jacchus (common marmoset)	43 t0 53 months						6427
1 to 5 years or > 15 years	9606	Homo sapiens (human)	1 to 5 years or > 15 years						6438
mean age 3-4 years	9606	Homo sapiens (human)	mean age 3-4 years						6443
9.42 +/- 3.84 years	9606	Homo sapiens (human)	9.42 +/- 3.84 years						6451
6.94 +/- 3.58 years	9606	Homo sapiens (human)	6.94 +/- 3.58 years						6452
11 +/- 7 years	9606	Homo sapiens (human)	11 +/- 7 years						6455
12.9 +/- 7.7 years	9606	Homo sapiens (human)	12.9 +/- 7.7 years						6456
12.8 +/- 8 years	9606	Homo sapiens (human)	12.8 +/- 8 years						6457
13.6 +/- 6.8 years	9606	Homo sapiens (human)	13.6 +/- 6.8 years						6458
22.7 +/- 14 years	9606	Homo sapiens (human)	22.7 +/- 14 years						6459
14.1 +/- 12 years	9606	Homo sapiens (human)	14.1 +/- 12 years						6460
9.6 +/- 3.1 years	9606	Homo sapiens (human)	9.6 +/- 3.1 years						6461
14.3 +/- 5.7 years	9606	Homo sapiens (human)	14.3 +/- 5.7 years						6462
23.8 +/- 2.3 years	9606	Homo sapiens (human)	23.8 +/- 2.3 years						6463
50.3 years median age	9606	Homo sapiens (human)	50.3 years median age						6470
56.5 years median age	9606	Homo sapiens (human)	56.5 years median age						6471
55.9 +/- 19.2 years	9606	Homo sapiens (human)	55.9 +/- 19.2 years						6476
37.9 +/- 6.5 years	9606	Homo sapiens (human)	37.9 +/- 6.5 years						6481
37.6 +/- 11.0 years	9606	Homo sapiens (human)	37.6 +/- 11.0 years						6482
6 weeks and 18 months	10000000	Mus musculus BALB/c	6 weeks and 18 months						6497
53.7 +/- 11.2	9606	Homo sapiens (human)	53.7 +/- 11.2						6501
58.8 +/- 8.7	9606	Homo sapiens (human)	58.8 +/- 8.7						6502
55.7 +/- 5.7	9606	Homo sapiens (human)	55.7 +/- 5.7						6514
49.5 +/- 7.5	9606	Homo sapiens (human)	49.5 +/- 7.5						6515
43 +/- 12 years	9606	Homo sapiens (human)	43 +/- 12 years						6583
36 +/- 10 years	9606	Homo sapiens (human)	36 +/- 10 years						6588
median age: 7.5 years	9606	Homo sapiens (human)	median age: 7.5 years						6595
over 18 years	10000119	Homo sapiens Caucasian	over 18 years						6615
46.7 yeas (mean)	9606	Homo sapiens (human)	46.7 yeas (mean)						6634
1 day to 6 months	9823	Sus scrofa (pig)	1 day to 6 months						6665
2 months - 12 years	9606	Homo sapiens (human)	2 months - 12 years						6700
52 years old on average	9606	Homo sapiens (human)	52 years old on average						6708
36.8 years (mean)	9606	Homo sapiens (human)	36.8 years (mean)						6719
8 months to 54 years	9606	Homo sapiens (human)	8 months to 54 years						6739
11 months - 55 years	9606	Homo sapiens (human)	11 months - 55 years						6741
42 +/- 8.1 years	9606	Homo sapiens (human)	42 +/- 8.1 years						6765
at least 2 months	10000206	Oryctolagus cuniculus New Zealand White	at least 2 months						6772
18-38 years, with an average of 22 years	9606	Homo sapiens (human)	18-38 years, with an average of 22 years						6774
